,Slot_id,Γενικό Νοσοκομείο Θεσσαλονίκης «Γ. Γεννηματάς»,Λιμάνι,Δημαρχείο Θεσσαλονίκης,Λευκός Πύργος,Αγορά Καπάνι,Λαδάδικα,Πλατεία Άθωνος,Πλατεία Αριστοτέλους,Ροτόντα,Πλατεία Αγίας Σοφίας,Πλατεία Αντιγονιδών,Μουσείο Μακεδονικού Αγώνα,Πλατεία Ναυαρίνου,Πάρκο ΧΑΝΘ,Ιερός Ναός Αγίου Δημητρίου,ΔΕΘ,ΑΠΘ,Άγαλμα Ελευθερίου Βενιζέλου,Ρωμαϊκή Αγορά Θεσσαλονίκης
0,2,949,1168,716,172,993,1275,832,759,745,665,1526,476,327,473,1264,677,775,1093,1189
1,3,970,1093,789,234,934,1202,777,686,758,616,1466,404,319,546,1223,744,813,1039,1146
2,7,1024,906,978,416,776,1013,634,498,796,496,1307,219,350,735,1111,909,912,898,1033
3,8,953,927,980,432,738,1016,586,500,724,437,1271,216,281,737,1052,873,849,850,974
4,9,877,953,992,466,700,1022,539,512,647,377,1232,237,213,750,988,844,786,801,910
5,10,1053,794,1098,538,670,892,539,377,820,424,1197,99,397,855,1031,1008,970,801,953
6,11,996,815,1100,549,633,896,493,381,763,368,1165,98,350,857,979,982,922,757,900
7,12,1069,632,1344,796,407,668,306,182,841,274,929,171,520,1101,811,1187,1056,552,734
8,14,1210,521,1384,820,493,607,431,94,980,423,983,197,625,1141,930,1276,1181,652,855
9,15,1312,375,1563,1000,417,428,426,87,1088,490,848,372,776,1320,881,1440,1313,585,812
10,19,1289,402,1631,1076,315,380,360,177,1073,465,732,440,805,1388,780,1475,1315,481,714
11,20,1372,312,1625,1061,436,366,469,152,1150,548,830,436,843,1382,902,1506,1377,603,836
12,24,1442,319,1817,1259,379,201,491,348,1234,629,640,624,990,1574,814,1661,1486,521,760
13,25,860,1229,684,203,1000,1321,832,806,663,656,1528,521,273,443,1237,591,678,1087,1163
14,26,859,1284,629,181,1054,1378,884,862,671,707,1581,578,311,389,1280,544,663,1137,1207
15,29,643,1305,751,403,955,1357,778,859,450,594,1464,590,176,535,1114,498,474,1010,1045
16,31,502,1366,826,540,947,1393,769,915,313,589,1433,666,226,632,1046,487,352,979,982
17,36,423,1435,849,613,986,1452,810,984,254,635,1456,742,305,672,1047,464,268,1005,987
18,37,451,1377,871,595,933,1395,756,927,258,579,1408,687,251,682,1009,509,321,956,947
19,40,752,1119,872,404,809,1178,636,674,531,456,1332,404,83,637,1031,680,631,885,956
20,42,600,1193,925,529,790,1221,612,742,375,428,1292,500,74,706,941,646,507,838,872
21,43,741,1051,974,500,707,1094,533,602,511,353,1228,349,92,740,932,761,659,782,857
