,ΚΩΔΙΚΟΣ ΤΟΜΕΑ,ΟΔΟΣ,ΜΕΣΟ,ΑΠΟ,ΕΩΣ,ΑΡΙΘΜΟΣ ΘΕΣΕΩΝ,ΔΙΕΥΘΥΝΣΗ,Latitude,Longitude
0,2,ΔΗΜ. ΓΟΥΝΑΡΗ,3,1,5,25,"ΔΗΜ. ΓΟΥΝΑΡΗ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.62788147559316,22.947678685739454
1,3,ΣΤΡ. ΚΑΛΛΑΡΗ,3,1,5,15,"ΣΤΡ. ΚΑΛΛΑΡΗ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.62821135174349,22.946910445532744
2,7,ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ,4,2,6,12,"ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.62923395558082,22.94512080327628
3,8,ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ,12,8,16,17,"ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ 12, ΘΕΣΣΑΛΟΝΙΚΗ",40.62974235309988,22.94570418371564
4,9,ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ,20,18,22,15,"ΜΗΤΡΟΠΟΛΙΤΟΥ ΙΩΣΗΦ 20, ΘΕΣΣΑΛΟΝΙΚΗ",40.63031512265154,22.946307010189
5,10,ΒΟΓΑΤΣΙΚΟΥ,5,3,5,6,"ΒΟΓΑΤΣΙΚΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63004701876061,22.944161120664013
6,11,ΒΟΓΑΤΣΙΚΟΥ,10,6,12,18,"ΒΟΓΑΤΣΙΚΟΥ 10, ΘΕΣΣΑΛΟΝΙΚΗ",40.63046997228426,22.94464816959201
7,12,ΚΑΡΟΛΟΥ ΝΤΗΛ,14,14,16,9,"ΚΑΡΟΛΟΥ ΝΤΗΛ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.63231114375255,22.943003981696684
8,14,ΠΛΟΥΤΑΡΧΟΥ,2,2,4,4,ΠΛΟΥΤΑΡΧΟΥ 2 ΘΕΣΣΑΛΟΝΙΚΗ,40.631623152341646,22.94148957847926
9,15,ΔΗΜΟΣΘΕΝΟΥΣ,3,3,7,3,"ΔΗΜΟΣΘΕΝΟΥΣ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.632797142914725,22.94001872919554
10,19,ΚΟΜΝΗΝΩΝ,14,12,16,11,"ΚΟΜΝΗΝΩΝ 14, ΘΕΣΣΑΛΟΝΙΚΗ",40.63384117203169,22.94019785439157
11,20,ΚΟΜΝΗΝΩΝ,3,3,5,16,"ΚΟΜΝΗΝΩΝ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.6329984726039,22.93927919781136
12,24,ΙΩΝΟΣ ΔΡΑΓOΥΜΗ,4,4,6,11,"IΩΝΟΣ ΔΡΑΓOΥΜΗ 4, ΘΕΣΣΑΛΟΝΙΚΗ",40.63484740906441,22.938415340535176
13,25,ΜΗΤΡΟΠΟΛΕΩΣ,100,98,102,22,"ΜΗΤΡΟΠΟΛΕΩΣ 100, ΘΕΣΣΑΛΟΝΙΚΗ",40.628240981969824,22.948729604033588
14,26,ΜΗΤΡΟΠΟΛΕΩΣ,106,104,108,25,"ΜΗΤΡΟΠΟΛΕΩΣ 106, ΘΕΣΣΑΛΟΝΙΚΗ",40.62792234798911,22.94925514697401
15,29,ΠΛ. ΙΠΠΟΔΡΟΜΙΟΥ,7,1,11,75,"ΠΛ. ΙΠΠΟΔΡΟΜΙΟΥ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.629715141529374,22.95040923072743
16,31,ΠΛ. ΙΠΠΟΔΡΟΜΙΟΥ,21,19,21,21,"ΠΛ. ΙΠΠΟΔΡΟΜΙΟΥ 21, ΘΕΣΣΑΛΟΝΙΚΗ",40.630701271400994,22.95145592950344
17,36,ΚΑΜΒΟΥΝΙΩΝ,5,1,11,29,"ΚΑΜΒΟΥΝΙΩΝ 7, ΘΕΣΣΑΛΟΝΙΚΗ",40.631049777177566,22.952360585427467
18,37,ΑΓΑΠΗΝΟΥ,5,1,7,14,"ΑΓΑΠΗΝΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63115949876132,22.95169677648318
19,40,ΛΟΡΔΟΥ ΒΥΡΩΝΟΣ,3,3,3,21,"ΛΟΡΔΟΥ ΒΥΡΩΝΟΣ 3, ΘΕΣΣΑΛΟΝΙΚΗ",40.630067508134175,22.948256037957464
20,42,ΑΠΕΛΛΟΥ,5,3,7,8,"ΑΠΕΛΛΟΥ 5, ΘΕΣΣΑΛΟΝΙΚΗ",40.63111955521629,22.949484460574197
21,43,ΓΡ. ΠΑΛΑΜΑ,15,15,17,13,"ΓΡ. ΠΑΛΑΜΑ 15, ΘΕΣΣΑΛΟΝΙΚΗ",40.63090312001403,22.947716913947424
